period,timestamp,minute,second,possession,duration,type_id,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,related_events,location,player_id,player_name,position_id,position_name,out,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,shot_first_time,shot_one_on_one,match_id
1,04:40.8,4,40,14,0.94819,16,779,Argentina,1,Regular Play,779,Argentina,['109b23ae-6cc9-49d7-888c-0ef1302b8abd'],"[92.4, 30.0]",27886,Alexis Mac Allister,15,Left Center Midfield,,0.024542088,"[117.3, 38.3, 0.8]",b8d55d4b-37dc-4491-ad9c-baa235eec9df,93,Normal,40,Right Foot,87,Open Play,100,Saved,"[{'location': [101.0, 48.0], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.8, 36.1], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 26.7], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 21.4], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 27.9], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.5, 40.3], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.1, 26.9], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.4, 38.5], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [77.7, 59.4], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [84.2, 29.2], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [84.1, 39.5], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.6, 52.5], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.5, 23.7], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.1, 12.6], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,3869685
1,07:36.5,7,36,18,0.422018,16,779,Argentina,1,Regular Play,779,Argentina,"['2e25cc68-01db-4b04-87b8-511991b3706f', 'a3062cbb-3c30-4bbe-bd00-97602d934e3a']","[99.2, 47.9]",7797,Rodrigo Javier De Paul,13,Right Center Midfield,,0.062813334,"[108.1, 40.4]",a2ce05f8-e1cd-4efb-865a-257a45a38cc0,93,Normal,40,Right Foot,87,Open Play,96,Blocked,"[{'location': [88.4, 47.6], 'player': {'id': 3009, 'name': 'Kylian Mbapp�?Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.4, 41.1], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 47.3], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 39.8], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 48.9], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.3, 30.3], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 34.3], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.9, 21.4], 'player': {'id': 5477, 'name': 'Ousmane Demb茅l�?}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.4, 35.2], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 39.8], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.5, 30.4], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.2, 38.6], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.8, 29.4], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.3, 21.5], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 31.8], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.2, 41.0], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [97.7, 55.4], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,3869685
1,16:15.9,16,15,27,0.87298,16,779,Argentina,1,Regular Play,779,Argentina,['f5b6061e-0674-471a-9725-a1ba88489e5f'],"[103.1, 34.6]",2995,脕ngel Fabi谩n Di Mar铆a Hern谩ndez,21,Left Wing,,0.106800534,"[120.0, 39.6, 7.5]",,93,Normal,40,Right Foot,87,Open Play,98,Off T,"[{'location': [117.8, 39.5], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.1, 46.7], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.3, 40.7], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 39.3], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.6, 37.0], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.6, 33.7], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.6, 43.8], 'player': {'id': 3009, 'name': 'Kylian Mbapp�?Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.3, 53.9], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 41.8], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.0, 37.9], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.2, 53.6], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",TRUE,,3869685
1,22:24.1,22,24,32,0.625635,16,779,Argentina,5,Other,779,Argentina,['c9b8e568-dcdc-4302-9683-0e9e9a55a42a'],"[108.0, 40.0]",5503,Lionel Andr茅s Messi Cuccittini,17,Right Wing,,0.7835,"[120.0, 41.8, 0.2]",,93,Normal,38,Left Foot,88,Penalty,97,Goal,,,,3869685
1,31:35.2,31,35,46,3.284765,16,779,Argentina,1,Regular Play,779,Argentina,['fb2e9a29-5b74-4402-ba04-4dc0d3fa0932'],"[94.3, 23.5]",27886,Alexis Mac Allister,15,Left Center Midfield,TRUE,0.010577817,"[112.3, 80.0]",1309a242-14ad-4a9c-b91c-45a568c57574,91,Half Volley,40,Right Foot,87,Open Play,101,Wayward,"[{'location': [117.9, 39.0], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 42.5], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.9, 37.6], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.2, 39.1], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 22.6], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.2, 23.6], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.7, 12.9], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.7, 25.1], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [84.6, 44.3], 'player': {'id': 3009, 'name': 'Kylian Mbapp�?Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.4, 14.1], 'player': {'id': 5477, 'name': 'Ousmane Demb茅l�?}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [87.2, 37.1], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.2, 39.7], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.0, 8.7], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.3, 19.1], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.8, 23.8], 'player': {'id': 5507, 'name': 'Nicol谩s Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",TRUE,,3869685
1,35:22.6,35,22,52,0.466153,16,779,Argentina,6,From Counter,779,Argentina,['07ff403e-90ed-4589-8dc1-d9ac61050632'],"[111.8, 32.1]",2995,脕ngel Fabi谩n Di Mar铆a Hern谩ndez,21,Left Wing,,0.30340916,"[120.0, 41.7, 0.5]",ed70825d-8a40-470d-8b30-fd315ab5f0a6,93,Normal,38,Left Foot,87,Open Play,97,Goal,"[{'location': [91.0, 50.1], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.7, 51.7], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.5, 48.1], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 37.7], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.6, 48.0], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.8, 59.2], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.6, 35.1], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.2, 53.3], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",TRUE,,3869685
2,03:50.0,48,49,86,0.86795,16,779,Argentina,4,From Throw In,779,Argentina,['ba1a48d9-afea-4c05-922f-2f0193a4194f'],"[103.3, 52.3]",7797,Rodrigo Javier De Paul,13,Right Center Midfield,,0.040216275,"[117.6, 41.6, 1.3]",d2e57de9-01bc-4d2e-8383-3822d5cb21b7,95,Volley,40,Right Foot,87,Open Play,100,Saved,"[{'location': [117.8, 41.6], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 50.1], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.9, 44.5], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 40.2], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 39.9], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.4, 30.9], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 27.8], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 17.8], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.4, 37.5], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.6, 37.3], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.2, 26.1], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",TRUE,,3869685
2,13:21.4,58,21,107,0.426019,16,779,Argentina,3,From Free Kick,779,Argentina,['10ca823a-345d-4333-8df2-bf82ec86a357'],"[110.5, 24.9]",29560,Juli谩n 脕lvarez,23,Center Forward,,0.05953379,"[119.4, 35.8, 0.2]",6927b0fd-c43c-43d1-9cd1-b6a0d22b97cd,93,Normal,38,Left Foot,87,Open Play,100,Saved,"[{'location': [96.8, 40.2], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.5, 33.6], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.3, 29.4], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.1, 35.1], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.9, 26.6], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.9, 36.3], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.4, 36.6], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,TRUE,3869685
2,14:51.8,59,51,116,0.718656,16,779,Argentina,1,Regular Play,779,Argentina,['97ec937f-9584-45e7-831f-78266ef479a3'],"[109.7, 46.0]",5503,Lionel Andr茅s Messi Cuccittini,17,Right Wing,,0.11555985,"[120.0, 45.5, 1.5]",fae50a7c-334c-4b1f-9f33-57cfa86af990,93,Normal,40,Right Foot,87,Open Play,98,Off T,"[{'location': [109.8, 45.4], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 42.7], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 20.1], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.3, 34.4], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.8, 38.3], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 26.8], 'player': {'id': 2995, 'name': '脕ngel Fabi谩n Di Mar铆a Hern谩ndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 36.1], 'player': {'id': 6704, 'name': 'Theo Bernard Fran莽ois Hern谩ndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 32.9], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 28.1], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.2, 37.4], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 32.9], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.1, 44.1], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.1, 45.5], 'player': {'id': 2972, 'name': 'Marcus Thuram'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",,,3869685
2,26:31.2,71,31,139,1.099332,16,779,Argentina,7,From Goal Kick,779,Argentina,['adbca8d5-9d69-4f53-b1ae-b3bacd82c6b9'],"[98.9, 32.2]",38718,Enzo Fernandez,10,Center Defensive Midfield,,0.041589838,"[117.8, 40.4, 1.7]",6df8ce2d-052e-42fe-ab80-f3ff68526fd2,93,Normal,40,Right Foot,87,Open Play,100,Saved,"[{'location': [99.7, 35.6], 'player': {'id': 22097, 'name': 'Randal Kolo Muani'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.0, 37.8], 'player': {'id': 24778, 'name': 'Eduardo Camavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 31.4], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.4, 36.1], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 34.2], 'player': {'id': 5485, 'name': 'Rapha毛l Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 26.1], 'player': {'id': 2972, 'name': 'Marcus Thuram'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.8, 29.5], 'player': {'id': 10481, 'name': 'Aur茅lien Djani Tchouam茅ni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 28.9], 'player': {'id': 4445, 'name': 'Jules Kound�?}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 21.8], 'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 35.9], 'player': {'id': 29560, 'name': 'Juli谩n 脕lvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.8, 28.0], 'player': {'id': 5503, 'name': 'Lionel Andr茅s Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 12.6], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.5, 22.6], 'player': {'id': 19597, 'name': 'Marcos Javier Acu帽a'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.2, 39.6], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.5, 19.7], 'player': {'id': 5507, 'name': 'Nicol谩s Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.3, 41.4], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,3869685
